_id,Code,Désignation,Pays,Cours précédent,Cours jour,Volume échangé,Nombre transactions,Valeur échangée,Date
65b223b695d22689cd9af3d8,ABJC,SERVAIR ABIDJAN CI,CI,  1 380,  1 380,   21,   5,   28 305,24/01/2024
65b223b695d22689cd9af3d9,BICC,BICICI,CI,  7 400,  7 400,   1,   1,   7 400,24/01/2024
65b223b695d22689cd9af3da,BNBC,BERNABE,CI,  1 370,  1 350,   352,   6,   483 875,24/01/2024
65b223b695d22689cd9af3db,BOAB,BANK OF AFRICA BENIN                                      ,BJ,  6 500,  6 500,   467,   10,  3 032 700,24/01/2024
65b223b695d22689cd9af3dc,BOABF,Bank Of Africa Burkina Faso                                 ,BF,  6 900,  6 900,   140,   6,   960 350,24/01/2024
65b223b695d22689cd9af3dd,BOAC,BANK OF AFRICA CI                                ,CI,  6 935,  6 950,   673,   29,  4 619 475,24/01/2024
65b223b695d22689cd9af3de,BOAM,BANK OF AFRICA MALI,ML,  1 375,  1 360,  1 159,   22,  1 598 270,24/01/2024
65b223b695d22689cd9af3df,BOAN,BANK OF AFRICA NIGER                                        ,NE,  5 295,  5 295,   82,   6,   432 820,24/01/2024
65b223b695d22689cd9af3e0,BOAS,BANK OF AFRICA SENEGAL,SN,  3 140,  3 150,   917,   17,  2 875 200,24/01/2024
65b223b695d22689cd9af3e1,CABC,SICABLE CI,CI,   990,  1 035,   225,   6,   230 075,24/01/2024
65b223b695d22689cd9af3e2,CBIBF,CORIS BANK INTERNATIONAL BURKINA FASO, ,  9 150,  9 000,   79,   5,   711 000,24/01/2024
65b223b695d22689cd9af3e3,CFAC,CFAO CI,CI,   785,   780,   135,   5,   105 125,24/01/2024
65b223b695d22689cd9af3e4,CIEC,CIE CI                                        ,CI,  1 695,  1 695,  3 176,   27,  5 376 085,24/01/2024
65b223b695d22689cd9af3e5,ECOC,ECOBANK COTE D'IVOIRE, ,  6 700,  6 700,  1 575,   29,  10 462 650,24/01/2024
65b223b695d22689cd9af3e6,ETIT,ETI TG                     ,TG,   18,   18,  20 879,   17,   358 896,24/01/2024
